product_id,product_name,category,launch_date,price,units_sold,return_rate,rating,country,revenue,units_returned
P001,AlphaPhone X,Electronics,2023-01-10,799.0,1200,0.03,4.6,US,958800.0,36
P002,BetaWatch 3,Electronics,2022-11-05,199.0,850,0.04,4.3,UK,169150.0,34
P003,CozyBlanket,Home,2023-03-20,49.0,2300,0.02,4.8,US,112700.0,46
P004,PureBrew Kettle,Home,2021-09-12,89.0,640,0.015,4.5,DE,56960.0,10
P005,EcoTee,Apparel,2024-02-01,25.0,4100,0.06,4.2,US,102500.0,246
P006,FlexSneak,Apparel,2022-04-18,120.0,980,0.05,4.4,UK,117600.0,49
P007,Glow Serum,Beauty,2023-07-30,34.0,1500,0.08,4.1,US,51000.0,120
P008,NightLight Pro,Electronics,2021-12-02,59.0,720,0.025,4.7,DE,42480.0,18
P009,KitchenMate Set,Home,2024-05-15,149.0,300,0.01,4.9,US,44700.0,3
P010,Traveler Backpack,Apparel,2020-06-10,89.0,1100,0.035,4.4,UK,97900.0,39
